id,q17,q19,q22,q24,q25,q27,q31,q32,q34,q35,q37,q38,q40,q41,q42,q43,q44,q45,q46,q50,q51,q52,q53,q54
1,3,5,4,3,3,3,5,4,4,5,3,3,4,4,4,4,3,5,4,4,5,3,3,3
2,3,2,4,2,3,4,3,3,2,2,4,3,4,4,3,3,4,3,3,3,2,3,2,3
3,3,5,3,3,3,4,4,5,3,5,4,3,4,3,3,4,4,3,3,3,3,4,5,5
4,3,4,3,3,4,3,2,5,2,2,3,3,2,3,3,3,3,3,3,3,2,3,2,2
5,4,5,4,2,2,2,5,2,3,3,4,1,1,3,2,2,1,3,3,4,2,4,2,4
6,5,3,5,4,3,4,5,5,3,3,4,5,3,5,4,3,3,5,5,2,4,3,3,4
7,4,3,3,3,4,3,4,3,2,3,3,3,2,2,2,2,3,2,4,3,3,3,4,3
8,1,5,1,1,1,5,1,1,5,1,1,5,1,5,5,1,5,1,1,1,1,1,1,5
9,3,1,4,1,1,3,4,4,1,1,2,1,1,4,1,4,1,1,3,1,3,2,1,1
10,3,4,3,1,3,4,4,4,4,4,1,4,1,5,2,4,4,3,3,3,4,3,4,4
11,3,3,3,3,3,2,1,4,2,1,2,3,3,3,3,2,3,3,3,1,1,3,1,3
12,4,2,4,2,2,2,1,1,3,1,4,1,3,4,1,3,3,1,1,1,1,4,1,4
13,3,3,3,3,3,2,5,1,1,5,2,2,3,2,1,3,5,2,1,1,2,5,5,3
14,1,1,3,1,1,1,5,1,1,5,2,1,1,1,1,1,2,1,1,1,3,2,5,1
15,4,1,3,4,1,1,2,1,3,4,3,3,3,4,4,2,1,1,1,1,1,1,4,1
16,4,5,3,4,2,4,1,5,4,1,3,3,4,1,2,1,1,4,4,4,1,5,1,5
17,2,5,5,5,5,2,3,5,5,4,2,2,2,5,5,2,2,2,2,5,2,5,5,5
18,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
20,1,1,1,5,1,4,5,1,1,5,3,1,1,1,4,1,1,1,1,1,1,3,5,1
21,4,3,3,3,3,3,5,4,3,5,2,2,3,3,3,3,3,3,3,2,5,4,2,3
22,5,3,4,4,3,3,1,2,2,1,3,3,3,3,3,3,4,3,2,1,1,3,1,3
23,5,2,2,2,2,3,2,2,2,1,3,2,2,4,2,2,3,2,1,1,2,3,3,3
24,2,4,1,4,2,4,1,4,4,2,2,4,4,5,4,3,4,2,3,4,1,5,2,5
25,4,2,4,2,3,2,2,2,3,2,2,2,2,4,2,3,2,2,2,2,2,3,2,2
26,4,2,3,3,2,2,4,4,3,2,3,3,3,3,3,2,4,4,4,2,2,2,3,2
27,3,1,3,1,2,3,5,2,2,4,3,3,3,3,1,3,3,3,1,1,1,3,5,2
28,4,5,3,4,3,3,5,5,4,5,3,2,4,3,3,2,2,4,2,4,4,2,5,4
29,5,5,5,4,5,5,3,5,4,3,5,5,4,5,5,5,5,3,5,3,3,5,4,5
30,5,4,2,3,4,2,5,3,4,5,3,3,3,4,4,4,3,3,3,3,5,5,5,4
31,5,5,5,5,5,3,5,5,5,4,4,5,5,5,5,5,5,5,4,3,1,5,1,5
32,2,3,4,1,1,3,1,1,1,2,2,1,3,1,1,1,1,1,1,2,2,2,1,2
33,5,4,3,3,3,3,5,4,3,4,3,3,3,3,3,3,3,3,4,4,3,4,5,4
34,5,1,3,3,2,1,1,4,1,1,2,5,5,4,4,2,4,3,4,1,5,4,1,2
35,3,1,4,1,2,1,1,1,1,1,1,2,1,2,1,3,2,1,1,1,1,2,1,2
36,5,4,5,5,1,5,4,5,3,5,5,5,1,5,3,1,5,4,2,1,5,4,5,5
37,5,3,3,3,3,2,1,2,3,4,3,4,2,4,2,4,4,3,2,2,2,4,4,3
38,4,4,3,3,4,3,5,5,4,3,5,2,3,4,4,5,2,4,4,3,4,4,2,4
39,3,2,2,2,2,2,1,2,2,1,4,3,3,4,2,2,2,1,3,1,3,3,1,3
40,4,1,1,2,1,1,1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,3,1,5
41,5,5,3,5,5,5,5,5,1,5,1,3,1,5,5,1,5,5,1,1,3,5,5,5
42,5,3,4,4,5,3,2,5,2,5,2,5,4,4,5,2,4,3,3,2,3,4,3,4
43,1,5,4,5,1,5,5,5,5,1,5,5,5,1,5,4,1,5,5,5,5,1,1,5
44,5,2,4,2,2,1,1,1,2,1,1,5,4,3,2,2,2,2,1,1,1,5,1,2
45,2,1,5,1,5,1,1,1,1,1,1,3,4,1,1,2,1,2,1,1,3,5,1,1
46,4,1,4,2,2,1,5,1,2,5,1,1,1,5,1,1,4,1,4,3,5,3,5,3
47,3,3,4,1,1,1,1,5,1,1,3,3,1,1,1,1,5,1,5,1,1,1,1,1
48,5,4,4,5,5,3,2,3,3,3,2,4,3,3,4,5,4,4,2,3,5,4,1,5
49,5,5,5,4,5,4,4,5,5,3,1,5,5,3,5,5,3,4,4,2,1,5,3,5
50,4,3,2,2,2,2,3,4,2,4,1,2,2,2,1,5,4,4,4,2,2,4,5,4
51,4,3,3,3,2,2,1,2,2,2,2,3,3,3,2,2,3,1,1,2,3,3,3,3
52,5,5,2,3,5,3,2,5,2,2,5,2,2,3,3,4,2,3,4,2,5,5,1,4
53,4,3,3,2,1,3,1,4,3,1,4,5,4,4,5,4,5,4,3,5,3,4,1,5
54,3,5,3,4,4,3,4,5,4,4,3,3,4,4,5,5,5,4,5,4,5,5,4,5
55,5,3,4,2,2,3,3,3,3,3,4,5,3,5,3,4,3,3,3,3,4,3,2,3
56,5,4,4,3,4,3,1,3,3,1,1,4,3,3,3,3,3,3,3,3,5,3,1,4
57,2,3,3,2,3,2,1,4,2,1,2,2,1,3,2,3,4,3,2,1,1,2,2,3
58,4,3,4,2,2,4,5,4,2,4,3,4,3,4,3,3,3,2,4,2,4,3,5,4
