id,favorability_to_science,favorability_to_mathematics,confidence_in_science,interest_in_nature,interest_in_technology,variable_identification,recognition_of_causal_relationship,need_for_cognition
1,26,13,14,10,7,5,1,0.577560586
2,18,7,14,11,7,4,1,-0.504570641
3,26,14,16,10,6,4,0,0.453579381
4,20,6,14,9,6,3,0,-0.502854772
5,24,10,11,5,8,5,1,-0.306367048
6,23,11,18,13,10,7,1,0.776971579
7,19,11,13,8,7,4,1,-0.083218276
8,23,3,8,15,2,5,0,1.83439204
9,8,6,12,6,7,4,0,-2.63873264
10,21,12,12,13,6,5,0,-0.46973845
11,18,3,11,9,6,5,1,-0.555529293
12,17,3,8,8,8,3,0,-0.274696912
13,17,15,6,9,6,6,0,0.002262951
14,8,15,5,4,4,7,1,-1.446557088
15,15,10,6,8,7,2,2,-0.77997721
16,29,3,16,5,7,9,0,0.203881823
17,35,12,11,9,7,3,0,0.596261922
18,7,5,4,3,2,1,1,-3.019317925
19,15,7,9,6,4,5,5,-1.125170795
20,16,15,9,3,2,5,2,-2.394642984
21,21,12,12,8,7,4,2,-0.030684421
22,19,3,10,10,9,3,1,-0.084434227
23,15,6,9,9,7,6,1,-1.31861089
24,30,5,13,13,3,4,2,-1.163789706
25,16,6,8,8,8,3,3,-0.840916201
26,17,9,13,10,7,9,3,-0.298097983
27,11,14,9,9,6,5,0,-0.977488361
28,26,15,13,7,7,8,2,0.090315575
29,31,10,20,15,10,6,3,0.759695374
30,27,15,11,10,7,3,3,0.76700429
31,33,10,16,15,10,2,1,0.212064227
32,12,4,7,3,6,7,2,-2.029853515
33,25,14,14,9,8,6,1,0.045889004
34,16,3,11,13,8,10,3,-0.208346498
35,9,3,4,6,7,4,0,-1.696041477
36,25,14,17,15,10,1,0,0.356706522
37,20,9,9,12,8,3,3,-0.103644323
38,26,10,17,8,7,6,1,0.160975275
39,15,3,11,9,5,3,0,-1.193973078
40,14,3,4,7,5,2,0,-1.049497017
41,27,15,12,13,8,0,0,1.490583308
42,24,10,13,13,9,3,3,0.648987477
43,31,7,20,7,5,5,0,1.630157601
44,16,3,4,10,9,4,0,-0.471526892
45,11,3,4,5,7,3,1,-1.278879251
46,15,15,7,10,8,4,1,0.657422851
47,9,3,14,9,7,2,2,-0.698185688
48,28,6,10,11,9,6,3,0.370762792
49,31,10,14,11,10,4,2,0.775484214
50,18,12,11,8,6,2,3,-0.124462638
51,18,6,7,9,7,4,1,-0.367969749
52,24,5,17,7,7,3,0,-0.19185301
53,27,3,14,14,7,3,1,-0.175907194
54,32,12,16,12,6,7,2,0.417834575
55,20,8,13,13,9,2,1,-0.50463268
56,23,3,10,10,9,5,3,0.197502124
57,15,4,10,9,5,5,0,-0.569598088
58,19,14,15,11,8,3,0,-1.046259609
59,35,3,19,15,10,6,1,0.919477537
60,18,4,7,9,6,6,2,-0.684787835
61,35,15,17,15,10,2,0,1.266640341
62,31,14,17,9,10,4,2,0.990007699
63,33,12,18,15,9,5,2,1.415312064
64,18,3,14,3,6,4,1,-0.254949656
65,16,7,14,4,4,3,1,-1.512830304
66,29,15,15,10,8,5,2,0.214785246
67,32,15,18,13,10,8,2,0.895677255
68,15,7,8,9,6,3,2,-0.847615998
69,21,15,5,5,4,4,2,-0.44031102
70,28,3,16,12,8,4,2,0.425207006
71,7,3,6,6,5,0,0,-2.197797964
72,26,13,13,11,9,6,1,0.257602341
73,22,12,15,8,6,7,4,-0.51252903
74,26,12,8,12,9,2,0,0.789430562
75,32,13,15,9,3,3,2,-0.02363937
76,20,13,11,10,7,3,1,-0.185910697
77,13,5,9,8,6,4,1,-1.563126966
78,32,12,16,15,10,3,0,1.399921592
79,25,15,11,13,7,5,2,0.192251245
80,22,15,17,9,6,3,3,0.013293007
81,23,6,9,13,7,3,3,0.596160446
82,23,13,15,9,7,4,2,-0.012947821
83,17,6,18,14,7,4,1,0.694610765
84,24,14,14,10,10,4,2,-0.119813811
85,22,4,11,6,7,3,1,-0.262712425
86,7,3,4,5,2,2,0,-2.113979128
87,9,6,15,7,6,5,1,0.158687235
88,29,3,17,14,9,4,1,0.807007889
89,22,7,10,9,4,3,0,-0.603405758
90,23,14,9,13,7,3,1,-0.053812144
91,25,8,17,15,10,5,2,0.122846054
92,33,9,19,14,6,3,4,0.799256606
93,18,3,8,3,10,4,1,1.338426796
94,15,12,13,8,3,5,1,-0.44599656
95,35,11,20,15,8,2,2,1.150144816
96,24,5,11,11,10,6,2,0.534398245
97,32,14,18,15,10,5,2,0.567611876
98,19,3,5,9,6,2,1,-0.522255494
99,29,9,13,11,9,3,0,1.089317803
100,31,15,20,13,8,5,0,0.94988923
101,20,11,14,9,9,2,0,0.507554475
102,29,15,15,15,10,3,0,0.523176684
103,27,12,11,12,9,2,1,0.423755607
104,14,15,8,6,7,3,1,-1.696922896
105,35,15,18,14,8,3,1,1.877489536
106,19,8,12,10,10,3,1,0.273616969
